0.9930	1.0070	0.9930	0.9930	1.0070	1.0070	0.9930	0.9930	0.9930	1.0070	0.9930	0.9930	0.9930	1.0070	0.9930	0.9930	1.0070	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	1.0070	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	1.0070	1.0070	0.9930	1.0070	0.9930	0.9930	0.9930	0.9930	1.0070	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	1.0070	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	1.0070	0.9930	1.0070	0.9930	0.9930	
1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.9780	0.8680	0.8680	0.8680	1.0060	0.9620	1.0400	1.0060	0.8680	0.9940	1.0300	0.8680	1.0060	1.0040	0.8680	0.8680	0.8680	0.8680	0.9860	0.8680	1.0040	0.8680	0.8680	0.8680	0.8680	0.8680	0.9820	0.9960	0.9960	0.8680	0.8680	0.8680	0.8680	0.8680	0.8680	0.8680	1.0140	0.8680	0.9920	0.8680	0.9880	0.8680	0.9580	0.8680	0.9880	0.8680	0.9920	0.8680	0.9780	0.8680	0.8680	0.8680	1.0340	0.8680	0.8680	1.1320	0.8680	0.8680	0.9880	0.8680	0.8680	0.8680	0.8680	0.8680	1.0060	0.8680	0.8680	1.0240	0.8680	1.0440	1.0000	1.0280	
0.9840	1.0160	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	1.0160	0.9840	0.9840	1.0160	0.9840	1.0000	0.9840	0.9840	1.0160	0.9840	0.9840	0.9840	0.9840	1.0160	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	1.0160	0.9840	0.9840	0.9840	0.9840	0.9840	1.0160	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	1.0160	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	1.0160	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	0.9840	1.0040	0.9840	0.9840	
1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
1.0120	0.8920	0.8920	0.8920	0.8920	0.9960	1.1020	0.9000	0.8920	0.9880	1.1080	0.8920	0.9640	1.0060	0.8920	0.8920	0.8920	0.8920	1.0800	0.8920	1.0300	0.8920	0.8920	0.8920	0.8920	0.8920	0.9940	1.0040	1.1080	1.1080	0.8920	0.8920	0.8920	0.8920	0.8920	0.8920	1.0140	0.8920	1.0020	0.8920	0.9840	0.8920	1.0080	0.8920	1.0160	0.8920	1.1080	0.8920	1.0120	0.8920	0.8920	0.8920	0.9880	1.1080	0.8920	1.1080	0.8920	0.8920	1.0340	0.8920	0.8920	0.8920	0.8920	0.8920	1.1080	0.8920	0.8920	1.1080	0.8920	1.1080	1.1080	1.1080	
0.9910	1.0090	0.9910	1.0090	0.9910	1.0090	1.0090	0.9910	1.0090	1.0090	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	1.0090	0.9910	0.9910	0.9910	1.0090	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	1.0090	0.9910	1.0090	1.0090	1.0090	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	1.0090	0.9910	0.9910	0.9910	1.0090	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	0.9910	
0.9980	0.9000	0.9000	0.9000	0.9000	1.0040	0.9860	0.9000	0.9000	1.0240	1.0160	0.9000	0.9820	1.0000	0.9000	0.9000	0.9000	0.9000	0.9680	0.9000	0.9680	1.1000	0.9000	0.9000	0.9000	0.9000	0.9000	0.9960	1.0040	1.1000	0.9000	0.9300	0.9000	0.9000	0.9000	1.1000	1.1000	0.9000	0.9680	1.1000	0.9720	0.9000	0.9860	0.9000	1.1000	0.9000	0.9680	0.9000	1.1000	0.9000	0.9000	0.9000	1.1000	1.1000	0.9000	0.9960	0.9000	0.9000	0.9720	1.1000	0.9000	0.9000	0.9000	0.9000	1.0120	0.9000	0.9000	1.1000	0.9000	1.0240	1.0240	1.0220	
0.9960	1.0040	0.9960	1.0040	0.9960	1.0040	0.9960	0.9960	1.0040	0.9960	0.9960	0.9960	1.0040	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	1.0040	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	1.0040	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	1.0040	1.0040	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	1.0040	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	1.0040	0.9960	
1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
